feature,n_folds_selected,pct
x_kurt,10,1.0
arc_length,10,1.0
path_y,10,1.0
y_min,9,0.9
y_max,9,0.9
y_kurt,9,0.9
x_skew,8,0.8
y_range,8,0.8
path_x,8,0.8
z_max,7,0.7
speed_seg3,7,0.7
path_z,7,0.7
y_skew,6,0.6
z_min,6,0.6
speed_seg2,6,0.6
x_range,5,0.5
z_skew,5,0.5
speed_seg1,5,0.5
evr_pc2,5,0.5
x_max,4,0.4
z_kurt,4,0.4
speed_mean,4,0.4
accel_mean,4,0.4
evr_pc1,4,0.4
evr_pc3,4,0.4
x_min,3,0.3
z_std,3,0.3
speed_min,3,0.3
accel_std,3,0.3
curv_mean,3,0.3
x_std,2,0.2
z_range,2,0.2
speed_std,2,0.2
speed_max,2,0.2
bbox_diag,2,0.2
curv_std,2,0.2
curv_total,2,0.2
y_std,1,0.1
x_mean,0,0.0
y_mean,0,0.0
z_mean,0,0.0
bbox_x,0,0.0
bbox_y,0,0.0
bbox_z,0,0.0
disp_seg1,0,0.0
disp_seg2,0,0.0
disp_seg3,0,0.0
