feature,n_folds_selected,pct
x_skew,10,1.0
y_min,10,1.0
path_x,10,1.0
path_y,10,1.0
x_min,9,0.9
y_max,9,0.9
arc_length,8,0.8
speed_seg1,8,0.8
y_kurt,7,0.7
speed_seg2,7,0.7
evr_pc3,7,0.7
x_max,6,0.6
y_skew,6,0.6
speed_mean,6,0.6
speed_max,6,0.6
accel_mean,6,0.6
x_kurt,5,0.5
z_kurt,5,0.5
speed_std,5,0.5
curv_mean,5,0.5
x_std,4,0.4
y_range,4,0.4
z_min,4,0.4
z_skew,4,0.4
accel_std,4,0.4
path_z,4,0.4
y_std,3,0.3
z_std,3,0.3
z_max,3,0.3
z_range,3,0.3
bbox_diag,3,0.3
curv_std,3,0.3
speed_seg3,3,0.3
evr_pc1,3,0.3
speed_min,2,0.2
curv_total,2,0.2
evr_pc2,2,0.2
x_range,1,0.1
x_mean,0,0.0
y_mean,0,0.0
z_mean,0,0.0
bbox_x,0,0.0
bbox_y,0,0.0
bbox_z,0,0.0
disp_seg1,0,0.0
disp_seg2,0,0.0
disp_seg3,0,0.0
