feature,n_folds_selected,pct
arc_length,10,1.0
path_x,10,1.0
path_y,10,1.0
y_min,9,0.9
speed_seg1,8,0.8
x_kurt,7,0.7
x_skew,6,0.6
y_kurt,6,0.6
y_max,5,0.5
y_skew,5,0.5
curv_mean,5,0.5
curv_total,5,0.5
speed_seg2,5,0.5
x_std,4,0.4
x_min,4,0.4
z_max,4,0.4
bbox_diag,4,0.4
curv_std,4,0.4
y_std,3,0.3
y_range,3,0.3
z_std,3,0.3
speed_seg3,3,0.3
evr_pc3,3,0.3
x_max,2,0.2
z_min,2,0.2
z_range,2,0.2
z_skew,2,0.2
z_kurt,2,0.2
speed_mean,2,0.2
speed_min,2,0.2
path_z,2,0.2
evr_pc1,2,0.2
evr_pc2,2,0.2
x_range,1,0.1
speed_std,1,0.1
accel_mean,1,0.1
x_mean,0,0.0
y_mean,0,0.0
z_mean,0,0.0
speed_max,0,0.0
accel_std,0,0.0
bbox_x,0,0.0
bbox_y,0,0.0
bbox_z,0,0.0
disp_seg1,0,0.0
disp_seg2,0,0.0
disp_seg3,0,0.0
