Domain,Method,Setting,Mean,Std,Result
1,EDIT,UI,0.8480000000000001,0.12327205684987981,0.848 ± 0.123
1,DTW,UI,0.9179999999999999,0.09651942809610922,0.918 ± 0.097
1,RF,UI,0.9129999999999999,0.05710516614107694,0.913 ± 0.057
1,LSTM,UI,0.9160000085830688,0.06327716443848849,0.916 ± 0.063
1,EDIT,UD,0.9810000000000002,0.04170131892398608,0.981 ± 0.042
1,DTW,UD,0.988,0.035440090293338694,0.988 ± 0.035
1,RF,UD,0.9640000000000001,0.06858571279792898,0.964 ± 0.069
1,LSTM,UD,0.9369999957084656,0.09127431095733642,0.937 ± 0.091
4,EDIT,UI,0.808464181712289,0.10187579535560624,0.808 ± 0.102
4,DTW,UI,0.8652267520869733,0.07850582249604844,0.865 ± 0.079
4,RF,UI,0.8671576392933412,0.08163383905281213,0.867 ± 0.082
4,LSTM,UI,0.7235222220420837,0.11225317476195948,0.724 ± 0.112
4,EDIT,UD,0.9760000000000002,0.05678027826631355,0.976 ± 0.057
4,DTW,UD,0.986,0.0424735211631906,0.986 ± 0.042
4,RF,UD,0.9730000000000003,0.06458327956987009,0.973 ± 0.065
4,LSTM,UD,0.9149999928474426,0.1080509130422567,0.915 ± 0.108
